"pois"
"1.3"
"BracU ALTER"
"Bangladesh"
"2026-05-10"
"01:36:59"
"FinalSystemTest4"
detection,time,type,name,x,y,z,robot,mode
1,01:37:16,"real_object","fire_extinguisher",0.4529,-0.0313,0.168,"Alter",T
