"pois"
"1.3"
"BracUAlter"
"Bangladesh"
"2026-05-09"
"06:02:34"
"PipelineTest"
detection,time,type,name,x,y,z,robot,mode
1,06:06:38,"ar_code","7",0.0965,0.0032,1.2,"Alter",T
