"pois"
"1.3"
"BracU ALTER"
"Bangladesh"
"2026-05-10"
"01:40:24"
"FinalRulesTest"
detection,time,type,name,x,y,z,robot,mode
1,01:40:37,"real_object","Backpack",0.6682,-0.2793,0.2021,"Alter",T
