"pois"
"1.3"
"BracU ALTER"
"Bangladesh"
"2026-05-10"
"01:32:03"
"FinalSystemTest"
detection,time,type,name,x,y,z,robot,mode
1,01:32:13,"real_object","fire_extinguisher",1.53,0.2823,0.3135,"Alter",T
